,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.1373599052429199,0.04767616349717629,0.014030027389526366,0.013252533377822914,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.5,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.5, 'classifier__penalty': 'l1'}",0.824234693877551,0.8297138420585626,0.8486191215616681,0.8708223431604956,0.8335898293743726,0.8413959660065299,0.016792871694392253,12
34,0.19385190010070802,0.042773295957286496,0.01226811408996582,0.01178755750403554,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.8,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.8, 'classifier__penalty': 'l1'}",0.824234693877551,0.8296583850931677,0.8487300354924578,0.8707889552936463,0.8335563733690197,0.8413936886251685,0.016801640681965123,13
26,0.129394006729126,0.08023951232841245,0.0077990531921386715,0.00039739611625442417,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.4,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.4, 'classifier__penalty': 'l1'}",0.824212511091393,0.8296805678793256,0.8486080301685891,0.870755567426797,0.8336790453886472,0.8413871443909505,0.01676944969790153,14
20,0.07153339385986328,0.0173620818643177,0.012183189392089844,0.009703480066688737,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.0999999999999999,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.0999999999999999, 'classifier__penalty': 'l1'}",0.8243788819875776,0.8297138420585626,0.8485192990239574,0.8706554038262495,0.8336567413850786,0.8413848336562852,0.01669014512424702,15
32,0.11880254745483398,0.05213918949629664,0.003660774230957031,0.00454337646531785,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.7,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.7, 'classifier__penalty': 'l1'}",0.824190328305235,0.8296694764862467,0.8487078527062999,0.8707889552936463,0.8335452213672354,0.8413803668317327,0.01680826586082268,16
6,0.04404282569885254,0.014449707004139082,0.0048047065734863285,0.00392303153878161,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.4,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.4, 'classifier__penalty': 'l1'}",0.824600709849157,0.830290594498669,0.8484416592724046,0.8703103958688081,0.8331437493029998,0.8413574217584078,0.016487495903280646,17
37,0.023773670196533203,0.011209511499264883,0.005249881744384765,0.002761787264525949,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.9,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.9, 'classifier__penalty': 'l2'}",0.8242901508429458,0.8292369121561669,0.8485303904170363,0.8710671875173894,0.8336567413850787,0.8413562764637235,0.016921114750539867,18
35,0.018848228454589843,0.008416994467574013,0.00791153907775879,0.0002053098012137936,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.8,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.8, 'classifier__penalty': 'l2'}",0.8242901508429459,0.8291925465838509,0.8485303904170364,0.8710560582284398,0.8336901973904316,0.8413518686925409,0.01692053537803867,19
29,0.03199138641357422,0.018244751761543544,0.012053823471069336,0.00707835981195743,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.5,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.5, 'classifier__penalty': 'l2'}",0.8242790594498669,0.8290927240461403,0.8483751109139308,0.8710337996505403,0.8338240214118434,0.8413209430944644,0.01690428408606697,20
33,0.01759305000305176,0.0031960502910271596,0.0069000244140625,0.0035848999040435504,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.7,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.7, 'classifier__penalty': 'l2'}",0.82424578527063,0.8291481810115351,0.8484638420585625,0.87104492893949,0.833701349392216,0.8413208173344866,0.016925316538672592,21
